time_hour,relative_brightness
0.0,1.0
0.1,1.00397
0.2,0.99898
0.3,0.9963
0.4,1.00198
0.5,1.00319
0.6,0.9972
0.7,0.99753
0.8,1.00344
0.9,1.00159
1.0,0.99615
1.1,0.9994
1.2,1.004
1.3,0.99957
1.4,0.99611
1.5,1.00144
1.6,1.00352
1.7,0.99766
1.8,0.99709
1.9,1.00309
2.0,1.00212
2.1,0.99636
2.2,0.99882
2.3,1.00394
2.4,0.97516
2.5,0.97102
2.6,0.97586
2.7,0.97876
2.8,0.97317
2.9,0.97171
3.0,0.97768
3.1,0.9776
3.2,0.99665
3.3,0.99826
3.4,1.0038
3.5,1.00076
3.6,0.99601
3.7,1.00027
3.8,1.00392
3.9,0.99872
4.0,0.99641
4.1,1.00221
4.2,1.00302
4.3,0.99701
4.4,0.99775
4.5,1.00357
4.6,1.00133
4.7,0.99609
4.8,0.99967
4.9,1.004
5.0,0.9993
5.1,0.99619
5.2,1.00169
5.3,1.00338
5.4,0.99744
5.5,0.99728
5.6,1.00326
5.7,1.00188
5.8,0.99626
5.9,0.99908
